ID,Root,Plate,Genotype,Sucrose,NaCl,DAG,MRLd
119,2,30,Col-0,Sucrose,75 mM,9,3.3169112
119,2,30,Col-0,Sucrose,75 mM,10,4.1111226
119,2,30,Col-0,Sucrose,75 mM,11,4.751723
119,2,30,Col-0,Sucrose,75 mM,12,5.3216453
120,3,30,Col-0,Sucrose,75 mM,5,1.2210208
120,3,30,Col-0,Sucrose,75 mM,8,2.9314172
120,3,30,Col-0,Sucrose,75 mM,9,3.6342564
120,3,30,Col-0,Sucrose,75 mM,10,4.3413625
120,3,30,Col-0,Sucrose,75 mM,11,4.914809
120,3,30,Col-0,Sucrose,75 mM,12,5.4096713
129,0,35,Col-0,Sucrose,125 mM,5,0.9527955
129,0,35,Col-0,Sucrose,125 mM,8,1.8865966
129,0,35,Col-0,Sucrose,125 mM,9,2.1369429
129,0,35,Col-0,Sucrose,125 mM,10,2.4855702
129,0,35,Col-0,Sucrose,125 mM,11,2.7116175
129,0,35,Col-0,Sucrose,125 mM,12,2.892026
130,1,35,Col-0,Sucrose,125 mM,5,1.055277
130,1,35,Col-0,Sucrose,125 mM,8,2.0476134
130,1,35,Col-0,Sucrose,125 mM,9,2.3890526
130,1,35,Col-0,Sucrose,125 mM,10,2.7533135
130,1,35,Col-0,Sucrose,125 mM,11,3.0438142
130,1,35,Col-0,Sucrose,125 mM,12,3.2629387
139,0,39,Col-0,Sucrose,125 mM,5,0.8139596
139,0,39,Col-0,Sucrose,125 mM,8,1.7309895
139,0,39,Col-0,Sucrose,125 mM,9,1.916967
139,0,39,Col-0,Sucrose,125 mM,10,2.1918871
139,0,39,Col-0,Sucrose,125 mM,11,2.3742568
139,0,39,Col-0,Sucrose,125 mM,12,2.6971881
140,1,39,Col-0,Sucrose,125 mM,5,0.78200424
140,1,39,Col-0,Sucrose,125 mM,8,1.7494736
140,1,39,Col-0,Sucrose,125 mM,9,2.119295
140,1,39,Col-0,Sucrose,125 mM,10,2.4802787
140,1,39,Col-0,Sucrose,125 mM,11,2.7247415
140,1,39,Col-0,Sucrose,125 mM,12,3.0174558
175,2,42,Col-0,Sucrose,125 mM,5,0.7597648
175,2,42,Col-0,Sucrose,125 mM,8,1.735379
175,2,42,Col-0,Sucrose,125 mM,9,2.07478
175,2,42,Col-0,Sucrose,125 mM,10,2.428957
175,2,42,Col-0,Sucrose,125 mM,11,2.600062
175,2,42,Col-0,Sucrose,125 mM,12,2.883783
176,3,42,Col-0,Sucrose,125 mM,5,0.817962
176,3,42,Col-0,Sucrose,125 mM,8,1.7445515
176,3,42,Col-0,Sucrose,125 mM,9,2.0788524
176,3,42,Col-0,Sucrose,125 mM,10,2.298537
176,3,42,Col-0,Sucrose,125 mM,11,2.3930562
176,3,42,Col-0,Sucrose,125 mM,12,2.508442
177,2,44,Col-0,Sucrose,125 mM,5,0.92992854
177,2,44,Col-0,Sucrose,125 mM,8,1.9037588
177,2,44,Col-0,Sucrose,125 mM,9,2.1676495
177,2,44,Col-0,Sucrose,125 mM,10,2.411231
177,2,44,Col-0,Sucrose,125 mM,11,2.6112866
177,2,44,Col-0,Sucrose,125 mM,12,2.8477223
178,3,44,Col-0,Sucrose,125 mM,5,0.92263615
178,3,44,Col-0,Sucrose,125 mM,8,1.7740257
178,3,44,Col-0,Sucrose,125 mM,9,2.064469
178,3,44,Col-0,Sucrose,125 mM,10,2.236122
178,3,44,Col-0,Sucrose,125 mM,11,2.327196
178,3,44,Col-0,Sucrose,125 mM,12,2.4498088
169,0,45,Col-0,Sucrose,125 mM,5,1.0619576
169,0,45,Col-0,Sucrose,125 mM,8,1.8593771
169,0,45,Col-0,Sucrose,125 mM,9,2.103037
169,0,45,Col-0,Sucrose,125 mM,10,2.2542055
169,0,45,Col-0,Sucrose,125 mM,11,2.3595078
169,0,45,Col-0,Sucrose,125 mM,12,2.4050322
170,1,45,Col-0,Sucrose,125 mM,5,0.9486981
170,1,45,Col-0,Sucrose,125 mM,8,1.8391875
170,1,45,Col-0,Sucrose,125 mM,9,2.1240277
170,1,45,Col-0,Sucrose,125 mM,10,2.371468
170,1,45,Col-0,Sucrose,125 mM,11,2.5328693
170,1,45,Col-0,Sucrose,125 mM,12,2.5316305
231,2,50,Col-0,NoSucrose,0 mM,5,1.0240754
231,2,50,Col-0,NoSucrose,0 mM,8,3.4219465
231,2,50,Col-0,NoSucrose,0 mM,9,4.5313687
231,2,50,Col-0,NoSucrose,0 mM,10,5.863708
231,2,50,Col-0,NoSucrose,0 mM,11,6.8966513
231,2,50,Col-0,NoSucrose,0 mM,12,7.978196
232,3,50,Col-0,NoSucrose,0 mM,5,1.1409022
232,3,50,Col-0,NoSucrose,0 mM,8,3.6719007
232,3,50,Col-0,NoSucrose,0 mM,9,4.6928773
232,3,50,Col-0,NoSucrose,0 mM,10,5.893397
232,3,50,Col-0,NoSucrose,0 mM,11,6.9901266
232,3,50,Col-0,NoSucrose,0 mM,12,7.8315835
233,2,54,Col-0,NoSucrose,0 mM,5,1.0809157
233,2,54,Col-0,NoSucrose,0 mM,8,3.5608711
233,2,54,Col-0,NoSucrose,0 mM,9,4.876096
233,2,54,Col-0,NoSucrose,0 mM,10,6.06193
233,2,54,Col-0,NoSucrose,0 mM,11,7.168073
233,2,54,Col-0,NoSucrose,0 mM,12,8.244688
234,3,54,Col-0,NoSucrose,0 mM,5,1.0496389
234,3,54,Col-0,NoSucrose,0 mM,8,3.3190863
234,3,54,Col-0,NoSucrose,0 mM,9,4.376561
234,3,54,Col-0,NoSucrose,0 mM,10,5.3527713
234,3,54,Col-0,NoSucrose,0 mM,11,6.403138
234,3,54,Col-0,NoSucrose,0 mM,12,7.466891
235,2,57,Col-0,NoSucrose,0 mM,5,1.0281546
235,2,57,Col-0,NoSucrose,0 mM,8,3.435475
235,2,57,Col-0,NoSucrose,0 mM,9,4.5132875
235,2,57,Col-0,NoSucrose,0 mM,10,5.772048
235,2,57,Col-0,NoSucrose,0 mM,11,6.8468714
235,2,57,Col-0,NoSucrose,0 mM,12,7.8704877
236,3,57,Col-0,NoSucrose,0 mM,5,1.0301138
236,3,57,Col-0,NoSucrose,0 mM,8,3.42217
236,3,57,Col-0,NoSucrose,0 mM,9,4.573723
236,3,57,Col-0,NoSucrose,0 mM,10,5.5443225
236,3,57,Col-0,NoSucrose,0 mM,11,6.943487
236,3,57,Col-0,NoSucrose,0 mM,12,8.070502
237,2,59,Col-0,NoSucrose,0 mM,5,0.9191443
237,2,59,Col-0,NoSucrose,0 mM,8,2.9285583
237,2,59,Col-0,NoSucrose,0 mM,9,4.0376143
237,2,59,Col-0,NoSucrose,0 mM,10,5.325845
237,2,59,Col-0,NoSucrose,0 mM,11,6.3534827
237,2,59,Col-0,NoSucrose,0 mM,12,7.367888
238,3,59,Col-0,NoSucrose,0 mM,5,1.0103093
238,3,59,Col-0,NoSucrose,0 mM,8,3.5271165
238,3,59,Col-0,NoSucrose,0 mM,9,4.680273
238,3,59,Col-0,NoSucrose,0 mM,10,5.634095
238,3,59,Col-0,NoSucrose,0 mM,11,6.725023
238,3,59,Col-0,NoSucrose,0 mM,12,7.869513
229,0,60,Col-0,NoSucrose,0 mM,5,0.9941463
229,0,60,Col-0,NoSucrose,0 mM,8,3.1155653
229,0,60,Col-0,NoSucrose,0 mM,9,3.724315
229,0,60,Col-0,NoSucrose,0 mM,10,4.865571
229,0,60,Col-0,NoSucrose,0 mM,11,5.842224
229,0,60,Col-0,NoSucrose,0 mM,12,6.7671595
230,1,60,Col-0,NoSucrose,0 mM,5,1.0370722
230,1,60,Col-0,NoSucrose,0 mM,8,3.4096155
230,1,60,Col-0,NoSucrose,0 mM,9,4.46936
230,1,60,Col-0,NoSucrose,0 mM,10,5.783992
230,1,60,Col-0,NoSucrose,0 mM,11,6.781634
230,1,60,Col-0,NoSucrose,0 mM,12,7.7486525
291,2,65,Col-0,NoSucrose,75 mM,5,0.9087031
291,2,65,Col-0,NoSucrose,75 mM,8,2.4401906
291,2,65,Col-0,NoSucrose,75 mM,9,3.6000493
291,2,65,Col-0,NoSucrose,75 mM,10,3.5688422
291,2,65,Col-0,NoSucrose,75 mM,11,4.2287946
291,2,65,Col-0,NoSucrose,75 mM,12,4.8944855
292,3,65,Col-0,NoSucrose,75 mM,5,1.1588504
292,3,65,Col-0,NoSucrose,75 mM,8,2.7711828
292,3,65,Col-0,NoSucrose,75 mM,9,3.8776698
292,3,65,Col-0,NoSucrose,75 mM,10,3.8917077
292,3,65,Col-0,NoSucrose,75 mM,11,4.4323583
292,3,65,Col-0,NoSucrose,75 mM,12,5.0657167
259,0,69,Col-0,NoSucrose,75 mM,5,0.9637496
259,0,69,Col-0,NoSucrose,75 mM,8,2.6236944
259,0,69,Col-0,NoSucrose,75 mM,9,3.2038198
259,0,69,Col-0,NoSucrose,75 mM,10,4.023032
259,0,69,Col-0,NoSucrose,75 mM,11,4.6842656
259,0,69,Col-0,NoSucrose,75 mM,12,5.453099
260,1,69,Col-0,NoSucrose,75 mM,5,0.8864425
260,1,69,Col-0,NoSucrose,75 mM,8,2.426589
260,1,69,Col-0,NoSucrose,75 mM,9,3.0792305
260,1,69,Col-0,NoSucrose,75 mM,10,3.8637948
260,1,69,Col-0,NoSucrose,75 mM,11,4.490269
260,1,69,Col-0,NoSucrose,75 mM,12,5.1711154
269,0,72,Col-0,NoSucrose,75 mM,5,0.9089295
269,0,72,Col-0,NoSucrose,75 mM,8,2.5340912
269,0,72,Col-0,NoSucrose,75 mM,9,0.09292504
269,0,72,Col-0,NoSucrose,75 mM,9,3.1155012
269,0,72,Col-0,NoSucrose,75 mM,10,3.895192
269,0,72,Col-0,NoSucrose,75 mM,11,4.5463014
269,0,72,Col-0,NoSucrose,75 mM,12,5.2525926
270,1,72,Col-0,NoSucrose,75 mM,5,1.2123073
270,1,72,Col-0,NoSucrose,75 mM,8,2.9804199
270,1,72,Col-0,NoSucrose,75 mM,9,4.4511905
270,1,72,Col-0,NoSucrose,75 mM,10,4.4511905
270,1,72,Col-0,NoSucrose,75 mM,11,5.098419
270,1,72,Col-0,NoSucrose,75 mM,12,5.8795314
279,0,74,Col-0,NoSucrose,75 mM,5,1.0230622
279,0,74,Col-0,NoSucrose,75 mM,8,2.7519295
279,0,74,Col-0,NoSucrose,75 mM,9,4.239556
279,0,74,Col-0,NoSucrose,75 mM,10,4.2667565
279,0,74,Col-0,NoSucrose,75 mM,11,4.91128
279,0,74,Col-0,NoSucrose,75 mM,12,5.5751233
280,1,74,Col-0,NoSucrose,75 mM,5,0.939326
280,1,74,Col-0,NoSucrose,75 mM,8,2.536074
280,1,74,Col-0,NoSucrose,75 mM,9,3.8532884
280,1,74,Col-0,NoSucrose,75 mM,10,3.8532872
280,1,74,Col-0,NoSucrose,75 mM,11,4.451089
280,1,74,Col-0,NoSucrose,75 mM,12,5.092434
300,3,75,Col-0,NoSucrose,75 mM,5,0.95670205
300,3,75,Col-0,NoSucrose,75 mM,8,2.5162368
300,3,75,Col-0,NoSucrose,75 mM,9,3.0609887
300,3,75,Col-0,NoSucrose,75 mM,10,3.8589742
300,3,75,Col-0,NoSucrose,75 mM,11,4.5289
300,3,75,Col-0,NoSucrose,75 mM,12,5.054036
