ID,Plate,Treatment,genotypes,Root,DAG,Angle
212,53,Sorbitol,A,3,10,-0.2937808
213,54,Sorbitol,Col-0,0,10,2.6299773
214,54,Sorbitol,Col-0,1,10,4.4884445
215,54,Sorbitol,C,2,10,-6.379534
216,54,Sorbitol,C,3,10,4.2483223
217,55,Sorbitol,Col-0,0,10,6.8672901
218,55,Sorbitol,Col-0,1,10,7.5777664
221,56,Sorbitol,A,0,10,5.9785185
222,56,Sorbitol,A,1,10,-1.0903994
223,56,Sorbitol,B,2,10,3.3872267
224,56,Sorbitol,B,3,10,1.1297672
225,57,Control,Col-0,0,10,-2.2963376
226,57,Control,Col-0,1,10,-11.0564104
227,57,Control,C,2,10,-2.9996832
228,57,Control,C,3,10,-0.3145446
233,59,Salt,B,0,10,-7.8987046
234,59,Salt,B,1,10,13.9629004
235,59,Salt,C,2,10,23.6997722
236,59,Salt,C,3,10,5.2350934
237,60,Sorbitol,C,0,10,7.1513986
238,60,Sorbitol,C,1,10,4.4107442
239,60,Sorbitol,A,2,10,-0.881942
241,61,Control,C,0,10,-9.5336607
242,61,Control,C,1,10,-0.3507172
243,61,Control,A,2,10,-8.1256582
244,61,Control,A,3,10,-10.4783851
258,65,Salt,Col-0,1,10,-5.6314917
259,65,Salt,B,2,10,-2.4501808
260,65,Salt,B,3,10,-6.4553491
261,66,Sorbitol,C,0,10,-0.0440144
262,66,Sorbitol,C,1,10,2.0341389
264,66,Sorbitol,A,3,10,1.8846124
269,68,Salt,C,0,10,6.0528583
270,68,Salt,C,1,10,11.664651
271,68,Salt,Col-0,2,10,17.1810943
272,68,Salt,Col-0,3,10,7.4384305
278,70,Sorbitol,A,1,10,-2.7552444
279,70,Sorbitol,B,2,10,7.3897722
280,70,Sorbitol,B,3,10,2.9089496
281,71,Control,A,0,10,-2.6870517
282,71,Control,A,1,10,-1.7153071
283,71,Control,Col-0,2,10,-2.2468597
284,71,Control,Col-0,3,10,1.4231102
285,72,Control,A,0,10,-3.5776264
286,72,Control,A,1,10,-3.25852
287,72,Control,B,2,10,-0.4172433
